DPC Values	RV Values
200	13865.5786
201	13882.3945
202	13899.9874
203	13916.123
204	13934.278
205	13950.6711
206	13968.4521
207	13984.9576
208	13996.782
209	14013.5451
210	14030.6154
211	14047.266
212	14064.9951
213	14081.2572
214	14098.484
215	14114.7655
216	14131.9775
217	14148.48
218	14165.3681
219	14179.1301
220	14200.9016
221	14215.3833
222	14232.8286
223	14249.1462
224	14259.6489
225	14275.6998
226	14292.8871
227	14308.8978
228	14325.8807
229	14342.1954
230	14359.2269
231	14375.3279
232	14392.3866
233	14408.0825
234	14425.3703
235	14440.9652
236	14457.9938
237	14473.8966
238	14490.7373
239	14506.4533
240	14517.2644
241	14533.07
242	14550.3431
243	14565.8245
244	14582.676
245	14598.4506
246	14615.0762
247	14630.895
248	14647.2768
249	14663.1391
250	14679.7411
251	14695.2313
252	14712.1235
253	14727.6091
254	14743.8413
255	14759.3684
256	14758.2412
257	14776.6221
258	14791.895
259	14807.8619
260	14822.933
261	14838.551
262	14854.3669
263	14870.4444
264	14885.4108
265	14901.5126
266	14916.4179
267	14932.4238
268	14947.7513
269	14963.3378
270	14978.6052
271	14993.9953
272	15008.5145
273	15025.0576
274	15039.9768
275	15055.8443
276	15070.6907
277	15086.262
278	15101.1901
279	15116.9765
280	15131.8435
281	15147.7235
282	15162.1977
283	15178.2196
284	15192.7116
285	15208.266
286	15223.0278
287	15238.3024
288	15253.0758
289	15269.2623
290	15283.8825
291	15299.4871
292	15313.753
293	15329.2624
294	15344.192
295	15359.2823
296	15374.1706
297	15389.1039
298	15403.6283
299	15419.0376
300	15433.3522
301	15448.6111
302	15463.3344
303	15478.1107
304	15492.7548
305	15508.539
306	15522.9964
307	15538.1205
308	15552.2518
309	15567.4348
310	15581.845
311	15596.7481
312	15611.3455
313	15626.0955
314	15640.3739
315	15655.4398
316	15669.4196
317	15684.7154
318	15698.7756
319	15713.5004
320	15727.8082
321	15743.259
322	15757.2743
323	15772.1582
324	15786.4999
325	15801.3259
326	15815.1209
327	15829.9135
328	15843.8367
329	15858.9899
330	15872.7127
331	15887.3896
332	15901.6267
333	15916.3003
334	15930.0153
335	15944.7909
336	15957.5973
337	15972.7109
